"legid";"accident_count";"geom_kml"
4879;1;"<LineString><coordinates>-104.893205451747164,39.732811117485426 -104.898766229023806,39.732875786057356</coordinates></LineString>"
4884;1;"<LineString><coordinates>-105.002835830238851,39.733689257167072 -105.001579403834057,39.733686421161011 -105.001579786328278,39.733473355729274</coordinates></LineString>"
6490;1;"<LineString><coordinates>-105.032482267067849,39.720411706923962 -105.032469964511392,39.718148017870057</coordinates></LineString>"
13403;1;"<LineString><coordinates>-105.250846135600014,39.996197428980047 -105.252512478052623,39.997164283311953 -105.2527027526002,39.9972359539344 -105.252822013210817,39.997312114505746 -105.252891687943432,39.997370873959703 -105.252979459353938,39.997469120733818 -105.253025710473935,39.997540265300991 -105.253061490707836,39.997614847051118 -105.253094585574829,39.997731314134192 -105.253102292401053,39.997850362307716 -105.253086386866329,39.998250797604157 -105.253103697757666,39.999818617964365 -105.253049147352499,39.999899915471396 -105.253045370813368,39.999947327994612 -105.253044142735405,39.999998613852114</coordinates></LineString>"
13646;1;"<LineString><coordinates>-105.248374068747196,40.003747383562214 -105.248369352104035,40.007279522622724</coordinates></LineString>"
6038;1;"<LineString><coordinates>-104.926920398733742,39.701963346712844 -104.926775707168801,39.701945160924701 -104.926671893112527,39.70190969179977 -104.926563725424586,39.701853223324754 -104.92648735292272,39.701782925650264 -104.926312666315951,39.701558310986769 -104.926160260594884,39.701630192996866 -104.925973057004128,39.701714761455214 -104.925854187621567,39.70182698664776 -104.925813734924816,39.701965626410015 -104.925809667580154,39.703835571555139 -104.919585939058862,39.703859175794086</coordinates></LineString>"
12756;1;"<LineString><coordinates>-105.10515515614307,40.170672838824224 -105.106842411076883,40.17067104043258 -105.108537616583234,40.170686745544813 -105.110219492321505,40.1706869389023</coordinates></LineString>"
7321;1;"<LineString><coordinates>-105.002285104007527,39.598344274090373 -105.002321209201995,39.595170192528961 -105.002306424095494,39.593768963881928</coordinates></LineString>"
12673;1;"<LineString><coordinates>-105.106857347445839,40.16189482025483 -105.10684699935031,40.163967000112159</coordinates></LineString>"
11897;1;"<LineString><coordinates>-105.266181377521178,40.051889320379274 -105.263282772388607,40.051904573142203 -105.263281022875972,40.05098801100349</coordinates></LineString>"
